"","JoinID","Batch_TagID","RecaptureMonthNum","marine.circ","FMC","SeaAge","M1","M2","DaysatSea","ReleaseDate","RecaptureDate","annulustype","numannuli"
"1104","1981_281117","8101_281117",8,39,1.08548,1,2.7391,NA,458,1981-05-08,1982-08-09,"firstannulus",1
"1105","1981_281173","8101_281173",10,44,1.53218,1,2.66909,NA,528,1981-05-08,1982-10-18,"firstannulus",1
"1106","1981_281805","8101_281805",9,41,1.90757,1,3.45973,NA,481,1981-05-08,1982-09-01,"firstannulus",1
"1107","1981_282311","8101_282311",7,46,1.1603,1,2.83549,NA,446,1981-05-08,1982-07-28,"firstannulus",1
"1108","1981_284392","8101_284392",7,40,1.36839,1,2.71423,NA,441,1981-05-08,1982-07-23,"firstannulus",1
"1109","1981_284460","8101_284460",7,38,1.61998,1,2.92696,NA,424,1981-05-08,1982-07-06,"firstannulus",1
"1110","1981_284543","8101_284543",6,34,1.47976,1,2.56011,NA,413,1981-05-08,1982-06-25,"firstannulus",1
"1111","1981_284884","8101_284884",7,42,1.53003,1,3.18575,NA,438,1981-05-08,1982-07-20,"firstannulus",1
"1112","1981_286613","8101_286613",11,44,1.50055,1,2.56416,NA,561,1981-05-08,1982-11-20,"firstannulus",1
"1113","1981_287512","8101_287512",8,38,1.33927,1,2.47473,NA,455,1981-05-08,1982-08-06,"firstannulus",1
"1114","1981_288105","8101_288105",7,38,1.57699,1,2.66417,NA,448,1981-05-08,1982-07-30,"firstannulus",1
"1115","1981_289521","8101_289521",8,44,1.6967,1,2.994,NA,467,1981-05-08,1982-08-18,"firstannulus",1
"1116","1981_290436","8101_290436",8,46,1.51311,1,3.08745,NA,458,1981-05-08,1982-08-09,"firstannulus",1
"1117","1981_294920","8101_294920",9,40,1.73788,1,3.19358,NA,458,1981-05-08,1982-08-09,"firstannulus",1
"1118","1981_296652","8101_296652",6,29,1.24728,1,2.20691,NA,411,1981-05-08,1982-06-23,"firstannulus",1
"1119","1986_306403","8601_306403",8,46,1.07235,1,2.58087,NA,467,1986-05-08,1987-08-18,"firstannulus",1
